item_id,dataset_id,dataset_version,query_hash,authorized_for_research,is_redacted,task_type,complexity_label,signal_char_count,signal_word_count,signal_estimated_tokens,signal_has_code,signal_has_math,signal_has_questions,signal_has_urls,signal_has_tables,signal_has_code_blocks,signal_has_rich_input,signal_detected_cues_count,signal_uppercase_ratio,signal_numeric_ratio,signal_special_char_ratio,context_has_dependency,context_turn_count,context_total_chars,context_last_turn_chars,context_has_cues,outcome_actual_route,outcome_model_tier,outcome_decision_type,outcome_is_cache_hit,outcome_is_local_handled,outcome_is_small_model,outcome_is_escalated,outcome_latency_ms,outcome_tokens_total,quality_verdict,quality_format_compliance_delta,quality_lexical_overlap,quality_token_delta,quality_cost_savings_usd,quality_latency_delta_ms,target_label,target_model_tier,label_derivation_method,label_confidence
bench_greet_001,sqr_canonical_benchmark_v1,1.0.0,ab9f333a59b45c78da4d2de6a75ae995751c704faee4d0c4942cea990ebafdc3,False,False,greeting,VERY_LOW,38,7,18,False,False,True,False,False,False,False,0,0.0526,0.0,0.0526,False,0,0,0,False,local-eligible,local,DECIDED,False,True,False,False,0.09,0,PARITY,0,0.0,38,0.000313,-0.01,local-eligible,local,BENCHMARK_PROVENANCE,1.0
bench_arith_001,sqr_canonical_benchmark_v1,1.0.0,eaf4971406bf12dbe018cf8620a6930d0515f3f609f2c064ab485e6122ce3611,False,False,arithmetic,VERY_LOW,17,5,10,False,True,True,False,False,False,False,1,0.0588,0.2941,0.1176,False,0,0,0,False,local-eligible,local,DECIDED,False,True,False,False,0.05,0,PARITY,0,0.0,28,0.00025,-0.03,local-eligible,local,BENCHMARK_PROVENANCE,1.0
bench_fact_001,sqr_canonical_benchmark_v1,1.0.0,815b02c6182c80b3223fd9ebc110205d7b351cfe351df75add1c63bed3cdc7d3,False,False,factual question,LOW,65,13,30,False,False,True,False,False,False,False,0,0.0308,0.0,0.0154,False,0,0,0,True,simple-model candidate,strong,DECIDED,True,False,False,False,0.19,0,PARITY,0,0.0,50,0.00038,-0.16,simple-model candidate,fast_cheap,EMPIRICAL_QUALITY_VERIFIED,0.95
bench_summ_001,sqr_canonical_benchmark_v1,1.0.0,52579e7e88b45a41a37b3b4557fff5b3777a3b4e12ef37f06ded2e3842ef17ba,False,False,summarization,MEDIUM,303,47,134,True,False,False,False,False,False,False,1,0.0264,0.0297,0.0198,False,0,0,0,False,simple-model candidate,strong,DECIDED,False,False,False,True,3.53,210,PARITY,0,0.0,-101,-0.000633,-3.47,complex-model candidate,strong,ESCALATION_CORRECTED,1.0
bench_rewr_001,sqr_canonical_benchmark_v1,1.0.0,1ba73405955dbcf54c929ba8060a1a3bd05383cc17429dce12d2e176748de26a,False,False,rewriting,LOW,211,36,98,False,False,False,False,False,False,False,0,0.019,0.0,0.0427,False,0,0,0,True,simple-model candidate,strong,DECIDED,True,False,False,False,0.21,0,PARITY,0,0.0,86,0.00047,-0.16,simple-model candidate,fast_cheap,EMPIRICAL_QUALITY_VERIFIED,0.95
bench_tran_001,sqr_canonical_benchmark_v1,1.0.0,59646bd0c2307848b9630c3e806ab053c636118a8aabebd21199c38198ef71de,False,False,translation,LOW,118,18,51,False,False,False,False,False,False,False,0,0.0254,0.0,0.0339,False,0,0,0,True,simple-model candidate,strong,DECIDED,True,False,False,False,0.13,0,PARITY,0,0.0,63,0.000412,-0.1,simple-model candidate,fast_cheap,EMPIRICAL_QUALITY_VERIFIED,0.95
bench_writ_001,sqr_canonical_benchmark_v1,1.0.0,c0c304f0f0f80a8234bf7bcda3c76a37bfa7888ccd08cf380470f059ae4f5318,False,False,creative writing,HIGH,118,19,55,False,False,False,False,False,False,False,0,0.0085,0.0,0.0254,False,0,0,0,False,simple-model candidate,strong,DECIDED,True,False,False,False,0.14,0,PARITY,0,0.0,63,0.000412,-0.11,complex-model candidate,strong,BENCHMARK_PROVENANCE,0.89
bench_code_001,sqr_canonical_benchmark_v1,1.0.0,cd5c52852df2ebb83b4430d6a60b9dd094b3305b90dc7b844fc080f4a27e90b0,False,False,coding,HIGH,213,27,99,False,False,False,False,False,False,False,0,0.0235,0.0094,0.0892,False,0,0,0,False,complex-model candidate,strong,DECIDED,True,False,False,False,0.2,0,PARITY,0,0.0,87,0.000473,0.06,complex-model candidate,strong,BENCHMARK_PROVENANCE,0.98
bench_debug_001,sqr_canonical_benchmark_v1,1.0.0,21b8b8fb54643e463247a51caceacdfb59e24f2ff26c8e58bad7dc493f010109,False,False,debugging,HIGH,326,44,161,True,False,True,False,False,True,True,1,0.0245,0.0,0.1227,False,0,0,0,True,complex-model candidate,strong,DECIDED,True,False,False,False,0.3,0,PARITY,0,0.0,115,0.000543,-0.21,complex-model candidate,strong,BENCHMARK_PROVENANCE,0.96
bench_comp_001,sqr_canonical_benchmark_v1,1.0.0,9d0c5bc9bb721a1f9a658ce9879d6cd8823823cab1a7e35d26e725673e461a03,False,False,comparison,MEDIUM,174,21,71,False,False,False,False,False,False,False,0,0.0747,0.0,0.0345,False,0,0,0,False,complex-model candidate,strong,DECIDED,True,False,False,False,0.16,0,PARITY,0,0.0,77,0.000448,-0.12,complex-model candidate,strong,BENCHMARK_PROVENANCE,0.93
bench_anal_001,sqr_canonical_benchmark_v1,1.0.0,6ffd7be51720337f77cdf71f2713b3aafc2abf2f0fb2fd7322f33dc2bc415876,False,False,analysis,HIGH,162,22,66,False,False,False,False,False,False,False,0,0.0741,0.0062,0.0062,False,0,0,0,False,complex-model candidate,strong,DECIDED,True,False,False,False,0.14,0,PARITY,0,0.0,74,0.00044,-0.1,complex-model candidate,strong,BENCHMARK_PROVENANCE,0.94
bench_reas_001,sqr_canonical_benchmark_v1,1.0.0,4c7cfaa1c305147a2bbf746d0217a4ccb321490462dd153c247ac5f7a7f293bf,False,False,reasoning,HIGH,291,46,134,False,False,True,False,False,False,False,0,0.0309,0.0,0.0515,False,0,0,0,False,complex-model candidate,strong,DECIDED,True,False,False,False,0.25,0,PARITY,0,0.0,106,0.00052,-0.19,complex-model candidate,strong,BENCHMARK_PROVENANCE,0.96
bench_ctx_001,sqr_canonical_benchmark_v1,1.0.0,3ec3ea2b8fcd2ad070595c7f1fe271705f0d3caea877e29cda219f630fb50189,False,False,context-dependent follow-up,MEDIUM,96,15,45,False,False,True,False,False,False,False,0,0.0625,0.0417,0.0417,True,2,261,184,True,needs-evaluation,strong,DECIDED,False,False,False,False,1.34,127,PARITY,0,0.0,-69,-0.000532,-1.31,complex-model candidate,strong,MANUAL_HEURISTIC,0.8
bench_ctx_002,sqr_canonical_benchmark_v1,1.0.0,f70bedc2f7ca9ae94fb0dadf11e79aa97ec6451c4b47f03417b005e6f3e2a800,False,False,context-dependent follow-up,LOW,60,14,32,False,False,False,False,False,False,False,0,0.0167,0.0667,0.0167,True,2,162,76,True,needs-evaluation,strong,DECIDED,False,False,False,False,1.05,115,PARITY,0,0.0,-66,-0.000532,-1.02,complex-model candidate,strong,MANUAL_HEURISTIC,0.8
bench_sens_001,sqr_canonical_benchmark_v1,1.0.0,94e450e8c7f4bdc0809bc09783a82d3ef34bb2dbc1438060d17fec99e9d77694,False,False,coding,MEDIUM,127,14,51,False,False,False,False,False,False,False,0,0.4094,0.0236,0.0236,False,0,0,0,False,complex-model candidate,strong,DECIDED,True,False,False,False,0.19,0,PARITY,0,0.0,65,0.000418,-0.16,complex-model candidate,strong,BENCHMARK_PROVENANCE,0.95
